name,osis,email,organization
Alex Skibidi mewer,123,hahalxlpro@gmail.com,Brooklyn Italians Soccer Club
Alex  Skibidi mewer,1231,boonstraronnan@gmail.com,Brooklyn Italians Soccer Club
Hahalxlpro Sigma,242240398,asdasjdasdjsa@gmail.com,John Dewey High School
Alex  Skibidi mewer,242203982,330849489apple@gmail.com,City Parks Foundation
John Dewey,123123213,alexanderl334@nycstudents.net,Brooklyn Italians Soccer Club
Mewer Liu,213123213,boonstraronnan@gmail.com,Brooklyn Italians Soccer Club
John Skibidi mewer,213213123,boonstraronnan@gmail.com,Billion Oyster Project
Han Soe Gyat,243231321,alexanderl334@nycstudents.net,Brooklyn Italians Soccer Club
Sigma Alex Gyat,12312,alexanderl334@nycstudents.net,Brooklyn Italians Soccer Club
Han Gyat Soe,313123131,330849489apple@gmail.com,Brooklyn Italians Soccer Club
Sigma Alex Skibidi mewer,242203982,hahalxlpro@gmail.com,Brooklyn Italians Soccer Club
Alex  Dewey,321312321,boonstraronnan@gmail.com,Brooklyn Italians Soccer Club
Alex  Dewey,242203982,hahalxlpro@gmail.com,Brooklyn Italians Soccer Club
Hahalxl Pro2,245757848,Mewerhigh@sigma.com,Eubie Blake P.S 25
<<>>>>>> Liu,12312312,hahalxlpro@gmail.com,Brooklyn Italians Soccer Club
